Names of organisms
HOMO SAPIENS
ZYGOSACCHAROMYCES BAILII
Vulpes zerda
Cygnus olor
LINDERINA PENNISPORA
Equisetum sylvaticum
Vultur gryphus
Nigella sativa
Phylloscopus collybita
Nymphaea candida
KLUYVEROMYCES MARXIANUS
Melanargia galathea
ASPERGILLUS PARASITICUS
ASPERGILLUS BOMBYCIS
Acherontia atropos
Taenia saginata
MEYEROZYMA GUILLIERMONDII
Octopus vulgaris
Mesonychoteuthis hamiltoni
Margaritifera margaritifera
Lepus europaeus
ASPERGILLUS CANDIDUS
USTILAGINOIDEA VIRENS
Prunus serrulata
Crataegus monogyna
Ornithorhynchus anatinus
Aptenodytes patagonicus
USTILAGINOIDEA VIRENS
Colias hyale
Eisenia fetida
Oncorhynchus mykiss
BOS TAURUS
Pseudorasbora parva
Cyanea capillata
Aster alpinus
Puma concolor
Upupa epops
ASPERGILLUS NIGER
